Niche,Platform,Community_Type,Interest_Level
Tech,Bluesky,Developers,High
Design,Bluesky,Creatives,High
Marketing,Twitter,Professionals,Medium
AI,Bluesky,Researchers,High
Photography,Instagram,Artists,High
Gaming,Twitter,Enthusiasts,High
Finance,LinkedIn,Professionals,Medium
Food,Instagram,Creators,High
Travel,Twitter,Bloggers,Medium
Fitness,Instagram,Influencers,High
Music,Bluesky,Artists,High
Books,Twitter,Readers,Medium
Politics,Bluesky,Journalists,High
Science,Twitter,Academics,High
Fashion,Instagram,Influencers,High